Genre,Id,Artist,ArtistId,Danceability,Energy,Tempo,Speechiness,Instrumentalness,Liveness,Loudness,Key,Mode,TimeSignature
1,2qOwSHYZRd7ZTG9WFrG0vT,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.259,0.36,83.027,0.0328,0.000871,0.247,-8.211,9,1,3
1,3i5PwReEBJBHQ2fzFClN2d,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.665,0.94,134.903,0.0313,1.07e-06,0.107,-2.788,0,1,4
1,41UC0IpPTszBkTiy5GcFvq,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.359,0.314,115.729,0.0318,0.00111,0.106,-11.323,0,1,4
1,4i5n7UL5CUduENczxXZ9yY,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.191,0.0485,72.375,0.0409,0.0658,0.0855,-22.198,6,0,4
1,3kEPTtgf4a2ATbv2jdKcZZ,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.0848,0.026,78.894,0.0451,0.00019,0.0952,-26.675,8,1,3
1,5Zhpw0qZya9rrklFvSkc2s,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.21,0.224,67.605,0.0372,2.41e-06,0.158,-10.612,10,1,4
1,1G2dxQbSFvep0Oq6J14zkd,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.236,0.202,133.09,0.033,0.0,0.0797,-10.552,2,1,4
1,3n0BgVDu66AZzZwgQF8idP,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.826,0.906,122.932,0.0361,0.000111,0.514,-4.255,5,0,4
1,1Ig9eqXNP7dwYot2fie2tK,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.129,0.232,81.512,0.0378,0.014,0.102,-10.015,5,1,3
1,2zEYp1ljrTkKIYuVE0VF3V,Charlotte Church,3P9jdZehQvmAoTrWU1p5zt,0.176,0.183,83.601,0.0403,0.0224,0.206,-13.885,8,1,3
0,3nGf1Gb3Lf8R5oYj33qj6M,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.457,0.78,167.898,0.0394,0.000238,0.0885,-6.466,10,0,4
0,5rj1jiNzy1CXpWIt1u9w4a,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.58,0.639,108.917,0.0243,0.000151,0.203,-6.313,8,0,4
0,1eGMlan84LYqFf9pI1bMCu,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.534,0.429,131.835,0.0273,0.0,0.109,-8.376,4,1,4
0,3FdZmVHgU6Kpy58bZNJRkC,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.593,0.709,170.545,0.0752,0.0,0.0866,-6.982,4,1,4
0,7l7UjHgpQfOQFoOs7qbOej,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.668,0.726,92.048,0.0316,0.000961,0.0931,-6.726,2,1,4
0,6Yyi8cXsfx6gPECjbHhK16,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.598,0.425,124.729,0.0298,0.0,0.363,-6.756,2,1,3
0,6S4F4braZ3nYgnMnLJyZLl,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.668,0.628,98.925,0.0283,4.21e-06,0.126,-7.289,11,1,4
0,633Z2VQ8b7ah0Svy0kjFMu,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.612,0.703,94.941,0.0277,0.000613,0.36,-5.293,9,1,4
0,2jsz5Mrpt81py4yQDRWyov,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.545,0.316,133.275,0.0309,1.86e-06,0.099,-9.399,0,1,4
0,3DIuAnNt5kEK5l4wmwrK9J,Zane Williams,7LjXLho6TAS9wkSfnjd0AX,0.552,0.766,141.987,0.0307,3.79e-05,0.246,-6.392,4,1,4
0,0FidmtYJiJVDgEyubcX01I,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.487,0.208,141.036,0.033,8.4e-05,0.106,-15.931,4,1,4
0,19wUloV5TyGy0tZ4z2DPUX,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.424,0.0681,125.37,0.0367,1.98e-06,0.0709,-19.502,4,1,4
0,7p4phAa3upzK3KETpnPmdU,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.387,0.873,199.828,0.0843,1.36e-05,0.0785,-6.404,2,1,4
0,3JZUZ1hgSQbJGIEEyv5x1C,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.569,0.344,116.937,0.0279,0.0,0.123,-8.329,2,1,4
0,0Ku9hItaoQZNeVpVzd2C6x,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.595,0.342,149.943,0.0363,4.14e-05,0.146,-13.16,1,1,4
0,4CKBDuxDvgKEtTFK2TTH5a,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.616,0.194,139.872,0.0398,0.0,0.118,-14.023,2,1,4
0,67d1CbBT82MYwFjN8LwFtS,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.386,0.543,143.861,0.0295,0.000196,0.175,-8.18,7,1,4
0,2sHzOUYRkQl6x440pB5yvn,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.427,0.144,109.778,0.0329,0.000225,0.118,-14.509,0,1,4
0,3TuSQBh89oRuSjnVmh52dq,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.57,0.859,111.894,0.0442,0.000901,0.591,-6.083,1,1,4
0,2yiQqOp7nmFSDhjnyAwjev,Jonathan Dale,093azZEd4gbxBlfX5IZUb4,0.478,0.642,89.978,0.0361,6.75e-06,0.39,-8.427,11,1,4
1,32lgKuOf0esvxQsh5tXAA5,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.266,0.0633,110.531,0.0401,0.00017,0.14,-19.328,8,1,3
1,030mot3ZKR3oskfMsqDB2R,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.156,0.184,180.887,0.0393,0.00458,0.26,-14.82,6,1,3
1,5ohoJB0WhfcEzuSVhVQ0s0,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.492,0.295,176.538,0.0897,8.67e-06,0.353,-14.549,9,1,4
1,1dy9EATwArE9ALpeGW8VQC,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.315,0.158,99.959,0.0323,7.61e-06,0.244,-11.563,1,1,4
1,0feqkkD0tgAZddC0uB3uwU,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.477,0.342,151.335,0.0725,0.0405,0.191,-15.321,7,1,4
1,6Gkwm5gINao0igVJRaps9q,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.318,0.251,87.675,0.032,7.86e-06,0.933,-13.586,8,1,5
1,3CY0lHyrUgfJ7YLbA3DSy9,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.645,0.457,135.696,0.0669,0.00716,0.083,-17.502,7,1,4
1,7BPMn6970CBEZ8z5ZOd7Gf,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.577,0.353,134.374,0.0756,0.000208,0.536,-16.191,8,1,4
1,39QlcVWo8NMV8kqqrCR1nr,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.459,0.333,141.891,0.0473,0.0,0.212,-13.247,7,1,4
1,2wow4hkuzIPuTU1kAkNLUl,Judy Garland and Liza Minnelli,0hItVPjwJLVZrFqOyIsxPf,0.544,0.34,116.958,0.0502,6.55e-05,0.667,-12.66,3,1,4
1,6umBxaxgV2q52o3Q8wH2Ma,Susan Boyle,1qAuetfG6mhtDgsVIffWQc,0.286,0.378,69.316,0.0382,0.000518,0.107,-8.752,10,1,4
