"Name","Genre"
"Annie Lennox","Pop"
"Glenn Gould","Pop"
"Bubba Sparxxx","Country"
"Savage Garden","Pop"
"Karen Carpenter","Pop"
"Lacy Cavalier","Country"
"Kenny Chesney","Country"
"Frankie Ballard","Country"
"Earl Scruggs","Country"
"Luciano Pavarotti","Pop"
"Brian Collins","Country"
"Ashley Gearing","Country"
"Waddie Mitchell","Country"
"Josh Kelley","Pop"
"A Great Big World","Pop"
"Martina McBride","Country"
"kirsten arian","Pop"
"Jason Michael Carroll","Country"
"LeAnn Rimes","Country"
"Gary Puckett","Pop"
"Kevin Welch","Country"
"Eddie Rabbitt","Country"
"Boyzone","Pop"
"Keith Whitley","Country"
"Jay Tighe","Country"
"David Gates","Pop"
"Charlie Worsham","Country"
"Holly Dunn","Country"
"Erika Jo","Country"
"Raby","Pop"
"Christopher Ambrose","Pop"
"Lee Greenwood","Country"
"Charlie Robison","Country"
"Perfect Stranger","Country"
"Tina Turner","Pop"
"Katrina Elam","Country"
"Johann Hedemann","Pop"
"Dottie West","Country"
"Tim Hicks","Country"
"Connie Francis","Pop"
"The Wilkinsons","Country"
"Eddie Murphy","Pop"
"Susan Raye","Country"
"Jimmy Lee Jones","Country"
"Sandy Posey","Country"
"Bette Midler","Pop"
"Charlie Louvin","Country"
"astroPuppees","Country"
"Jeff Carson","Country"
"Red Steagall","Country"
"Cast","Pop"
"Onur Özsu","Pop"
"Brotherhood of Man","Pop"
"Cynthiara Alona","Pop"
"Tompall Glaser","Country"
"Brooks & Dunn","Country"
"Carly Rae Jepsen","Pop"
"カヒミ・カリィ","Pop"
"Mac Davis","Country"
"Kiri Te Kanawa","Pop"
"Lumidee","Pop"
"Brothers Osborne","Country"
"Kenny Price","Pop"
"Moe Bandy","Country"
"Riders in the Sky","Country"
"Chely Wright","Country"
"Whitney Houston","Pop"
"Jennifer Warnes","Country"
"Robbie Williams","Pop"
"Rudy Sooter","Country"
"The Amazing Rhythm Aces","Country"
"Lisa Stansfield","Pop"
"Harry Stinson","Country"
"Josh Thompson","Country"
"Sam Bush","Country"
"Paul Overstreet","Country"
"Jo Dee Messina","Country"
"Shooter Jennings","Country"
"June Carter Cash","Country"
"Jeff Copley","Country"
"Jennifer Lopez","Pop"
"Kip Moore","Country"
"Adele","Pop"
"Zane Williams","Country"
"Bosson","Pop"
"Paolo Nutini","Pop"
"Sara Evans","Country"
"Fiddle Fever","Country"
"Ashley Tisdale","Pop"
"Sammy Kershaw","Country"
"Rose Falcon","Country"
"Yodeling Slim Clark","Country"
"Jimmy Dean","Country"
"Johnnie Lee Wills","Country"
"AJR","Pop"
"Paul Bogart","Country"
"Josh Gracin","Country"
"Tim Wilson","Country"
"Skeeter Davis","Country"
"Ariana Grande","Pop"
